,date,cpi_value,cpi_year,cpi_month
320,1997-05-01 00:00:00.000000,160.1,1997,05
321,1997-04-01 00:00:00.000000,160.2,1997,04
322,1997-03-01 00:00:00.000000,160.0,1997,03
323,1997-02-01 00:00:00.000000,159.6,1997,02
324,1997-01-01 00:00:00.000000,159.1,1997,01
325,1996-12-01 00:00:00.000000,158.6,1996,12
326,1996-11-01 00:00:00.000000,158.6,1996,11
327,1996-10-01 00:00:00.000000,158.3,1996,10
328,1996-09-01 00:00:00.000000,157.8,1996,09
329,1996-08-01 00:00:00.000000,157.3,1996,08
330,1996-07-01 00:00:00.000000,157.0,1996,07
331,1996-06-01 00:00:00.000000,156.7,1996,06
332,1996-05-01 00:00:00.000000,156.6,1996,05
333,1996-04-01 00:00:00.000000,156.3,1996,04
334,1996-03-01 00:00:00.000000,155.7,1996,03
335,1996-02-01 00:00:00.000000,154.9,1996,02
336,1996-01-01 00:00:00.000000,154.4,1996,01
337,1995-12-01 00:00:00.000000,153.5,1995,12
338,1995-11-01 00:00:00.000000,153.6,1995,11
339,1995-10-01 00:00:00.000000,153.7,1995,10
340,1995-09-01 00:00:00.000000,153.2,1995,09
341,1995-08-01 00:00:00.000000,152.9,1995,08
342,1995-07-01 00:00:00.000000,152.5,1995,07
343,1995-06-01 00:00:00.000000,152.5,1995,06
344,1995-05-01 00:00:00.000000,152.2,1995,05
345,1995-04-01 00:00:00.000000,151.9,1995,04
346,1995-03-01 00:00:00.000000,151.4,1995,03
347,1995-02-01 00:00:00.000000,150.9,1995,02
348,1995-01-01 00:00:00.000000,150.3,1995,01
349,1994-12-01 00:00:00.000000,149.7,1994,12
350,1994-11-01 00:00:00.000000,149.7,1994,11
351,1994-10-01 00:00:00.000000,149.5,1994,10
352,1994-09-01 00:00:00.000000,149.4,1994,09
353,1994-08-01 00:00:00.000000,149.0,1994,08
354,1994-07-01 00:00:00.000000,148.4,1994,07
355,1994-06-01 00:00:00.000000,148.0,1994,06
356,1994-05-01 00:00:00.000000,147.5,1994,05
357,1994-04-01 00:00:00.000000,147.4,1994,04
358,1994-03-01 00:00:00.000000,147.2,1994,03
359,1994-02-01 00:00:00.000000,146.7,1994,02
360,1994-01-01 00:00:00.000000,146.2,1994,01
361,1993-12-01 00:00:00.000000,145.8,1993,12
362,1993-11-01 00:00:00.000000,145.8,1993,11
363,1993-10-01 00:00:00.000000,145.7,1993,10
364,1993-09-01 00:00:00.000000,145.1,1993,09
365,1993-08-01 00:00:00.000000,144.8,1993,08
366,1993-07-01 00:00:00.000000,144.4,1993,07
367,1993-06-01 00:00:00.000000,144.4,1993,06
368,1993-05-01 00:00:00.000000,144.2,1993,05
369,1993-04-01 00:00:00.000000,144.0,1993,04
370,1993-03-01 00:00:00.000000,143.6,1993,03
371,1993-02-01 00:00:00.000000,143.1,1993,02
372,1993-01-01 00:00:00.000000,142.6,1993,01
373,1992-12-01 00:00:00.000000,141.9,1992,12
374,1992-11-01 00:00:00.000000,142.0,1992,11
375,1992-10-01 00:00:00.000000,141.8,1992,10
376,1992-09-01 00:00:00.000000,141.3,1992,09
377,1992-08-01 00:00:00.000000,140.9,1992,08
378,1992-07-01 00:00:00.000000,140.5,1992,07
379,1992-06-01 00:00:00.000000,140.2,1992,06
380,1992-05-01 00:00:00.000000,139.7,1992,05
381,1992-04-01 00:00:00.000000,139.5,1992,04
382,1992-03-01 00:00:00.000000,139.3,1992,03
383,1992-02-01 00:00:00.000000,138.6,1992,02
384,1992-01-01 00:00:00.000000,138.1,1992,01
385,1991-12-01 00:00:00.000000,137.9,1991,12
386,1991-11-01 00:00:00.000000,137.8,1991,11
387,1991-10-01 00:00:00.000000,137.4,1991,10
388,1991-09-01 00:00:00.000000,137.2,1991,09
389,1991-08-01 00:00:00.000000,136.6,1991,08
390,1991-07-01 00:00:00.000000,136.2,1991,07
391,1991-06-01 00:00:00.000000,136.0,1991,06
392,1991-05-01 00:00:00.000000,135.6,1991,05
393,1991-04-01 00:00:00.000000,135.2,1991,04
394,1991-03-01 00:00:00.000000,135.0,1991,03
395,1991-02-01 00:00:00.000000,134.8,1991,02
396,1991-01-01 00:00:00.000000,134.6,1991,01
397,1990-12-01 00:00:00.000000,133.8,1990,12
398,1990-11-01 00:00:00.000000,133.8,1990,11
399,1990-10-01 00:00:00.000000,133.5,1990,10
400,1990-09-01 00:00:00.000000,132.7,1990,09
401,1990-08-01 00:00:00.000000,131.6,1990,08
402,1990-07-01 00:00:00.000000,130.4,1990,07
403,1990-06-01 00:00:00.000000,129.9,1990,06
404,1990-05-01 00:00:00.000000,129.2,1990,05
405,1990-04-01 00:00:00.000000,128.9,1990,04
406,1990-03-01 00:00:00.000000,128.7,1990,03
407,1990-02-01 00:00:00.000000,128.0,1990,02
408,1990-01-01 00:00:00.000000,127.4,1990,01
409,1989-12-01 00:00:00.000000,126.1,1989,12
410,1989-11-01 00:00:00.000000,125.9,1989,11
411,1989-10-01 00:00:00.000000,125.6,1989,10
412,1989-09-01 00:00:00.000000,125.0,1989,09
413,1989-08-01 00:00:00.000000,124.6,1989,08
414,1989-07-01 00:00:00.000000,124.4,1989,07
415,1989-06-01 00:00:00.000000,124.1,1989,06
416,1989-05-01 00:00:00.000000,123.8,1989,05
417,1989-04-01 00:00:00.000000,123.1,1989,04
418,1989-03-01 00:00:00.000000,122.3,1989,03
419,1989-02-01 00:00:00.000000,121.6,1989,02
420,1989-01-01 00:00:00.000000,121.1,1989,01
421,1988-12-01 00:00:00.000000,120.5,1988,12
422,1988-11-01 00:00:00.000000,120.3,1988,11
423,1988-10-01 00:00:00.000000,120.2,1988,10
424,1988-09-01 00:00:00.000000,119.8,1988,09
425,1988-08-01 00:00:00.000000,119.0,1988,08
426,1988-07-01 00:00:00.000000,118.5,1988,07
