,date,retail_value,retail_year,retail_month
270,2001-07-01 00:00:00.000000,251504.0,2001,07
271,2001-06-01 00:00:00.000000,260315.0,2001,06
272,2001-05-01 00:00:00.000000,268658.0,2001,05
273,2001-04-01 00:00:00.000000,249062.0,2001,04
274,2001-03-01 00:00:00.000000,253439.0,2001,03
275,2001-02-01 00:00:00.000000,223971.0,2001,02
276,2001-01-01 00:00:00.000000,226791.0,2001,01
277,2000-12-01 00:00:00.000000,294197.0,2000,12
278,2000-11-01 00:00:00.000000,252145.0,2000,11
279,2000-10-01 00:00:00.000000,245167.0,2000,10
280,2000-09-01 00:00:00.000000,243624.0,2000,09
281,2000-08-01 00:00:00.000000,257487.0,2000,08
282,2000-07-01 00:00:00.000000,244445.0,2000,07
283,2000-06-01 00:00:00.000000,255066.0,2000,06
284,2000-05-01 00:00:00.000000,257581.0,2000,05
285,2000-04-01 00:00:00.000000,239051.0,2000,04
286,2000-03-01 00:00:00.000000,253717.0,2000,03
287,2000-02-01 00:00:00.000000,227087.0,2000,02
288,2000-01-01 00:00:00.000000,213709.0,2000,01
289,1999-12-01 00:00:00.000000,293013.0,1999,12
290,1999-11-01 00:00:00.000000,240857.0,1999,11
291,1999-10-01 00:00:00.000000,233193.0,1999,10
292,1999-09-01 00:00:00.000000,230665.0,1999,09
293,1999-08-01 00:00:00.000000,240478.0,1999,08
294,1999-07-01 00:00:00.000000,236992.0,1999,07
295,1999-06-01 00:00:00.000000,236830.0,1999,06
296,1999-05-01 00:00:00.000000,237462.0,1999,05
297,1999-04-01 00:00:00.000000,227109.0,1999,04
298,1999-03-01 00:00:00.000000,230230.0,1999,03
299,1999-02-01 00:00:00.000000,199451.0,1999,02
300,1999-01-01 00:00:00.000000,196810.0,1999,01
301,1998-12-01 00:00:00.000000,265618.0,1998,12
302,1998-11-01 00:00:00.000000,218969.0,1998,11
303,1998-10-01 00:00:00.000000,220499.0,1998,10
304,1998-09-01 00:00:00.000000,208915.0,1998,09
305,1998-08-01 00:00:00.000000,216605.0,1998,08
306,1998-07-01 00:00:00.000000,217687.0,1998,07
307,1998-06-01 00:00:00.000000,220867.0,1998,06
308,1998-05-01 00:00:00.000000,221155.0,1998,05
309,1998-04-01 00:00:00.000000,212262.0,1998,04
310,1998-03-01 00:00:00.000000,207973.0,1998,03
311,1998-02-01 00:00:00.000000,183767.0,1998,02
312,1998-01-01 00:00:00.000000,187445.0,1998,01
313,1997-12-01 00:00:00.000000,249389.0,1997,12
314,1997-11-01 00:00:00.000000,207533.0,1997,11
315,1997-10-01 00:00:00.000000,210145.0,1997,10
316,1997-09-01 00:00:00.000000,201415.0,1997,09
317,1997-08-01 00:00:00.000000,211952.0,1997,08
318,1997-07-01 00:00:00.000000,208856.0,1997,07
319,1997-06-01 00:00:00.000000,205491.0,1997,06
320,1997-05-01 00:00:00.000000,211516.0,1997,05
321,1997-04-01 00:00:00.000000,199219.0,1997,04
322,1997-03-01 00:00:00.000000,203750.0,1997,03
323,1997-02-01 00:00:00.000000,178428.0,1997,02
324,1997-01-01 00:00:00.000000,181073.0,1997,01
325,1996-12-01 00:00:00.000000,237478.0,1996,12
326,1996-11-01 00:00:00.000000,203621.0,1996,11
327,1996-10-01 00:00:00.000000,201927.0,1996,10
328,1996-09-01 00:00:00.000000,189424.0,1996,09
329,1996-08-01 00:00:00.000000,204270.0,1996,08
330,1996-07-01 00:00:00.000000,197140.0,1996,07
331,1996-06-01 00:00:00.000000,196842.0,1996,06
332,1996-05-01 00:00:00.000000,205797.0,1996,05
333,1996-04-01 00:00:00.000000,191886.0,1996,04
334,1996-03-01 00:00:00.000000,191851.0,1996,03
335,1996-02-01 00:00:00.000000,173941.0,1996,02
336,1996-01-01 00:00:00.000000,167372.0,1996,01
337,1995-12-01 00:00:00.000000,227552.0,1995,12
338,1995-11-01 00:00:00.000000,193405.0,1995,11
339,1995-10-01 00:00:00.000000,184276.0,1995,10
340,1995-09-01 00:00:00.000000,182521.0,1995,09
341,1995-08-01 00:00:00.000000,193370.0,1995,08
342,1995-07-01 00:00:00.000000,182909.0,1995,07
343,1995-06-01 00:00:00.000000,191609.0,1995,06
344,1995-05-01 00:00:00.000000,190269.0,1995,05
345,1995-04-01 00:00:00.000000,176635.0,1995,04
346,1995-03-01 00:00:00.000000,181910.0,1995,03
347,1995-02-01 00:00:00.000000,155156.0,1995,02
348,1995-01-01 00:00:00.000000,158004.0,1995,01
349,1994-12-01 00:00:00.000000,221549.0,1994,12
350,1994-11-01 00:00:00.000000,184272.0,1994,11
351,1994-10-01 00:00:00.000000,178642.0,1994,10
352,1994-09-01 00:00:00.000000,175128.0,1994,09
353,1994-08-01 00:00:00.000000,182445.0,1994,08
354,1994-07-01 00:00:00.000000,173198.0,1994,07
355,1994-06-01 00:00:00.000000,178509.0,1994,06
356,1994-05-01 00:00:00.000000,175527.0,1994,05
357,1994-04-01 00:00:00.000000,170795.0,1994,04
358,1994-03-01 00:00:00.000000,173562.0,1994,03
359,1994-02-01 00:00:00.000000,146332.0,1994,02
360,1994-01-01 00:00:00.000000,145276.0,1994,01
361,1993-12-01 00:00:00.000000,206174.0,1993,12
362,1993-11-01 00:00:00.000000,169980.0,1993,11
363,1993-10-01 00:00:00.000000,163992.0,1993,10
364,1993-09-01 00:00:00.000000,159298.0,1993,09
365,1993-08-01 00:00:00.000000,163989.0,1993,08
366,1993-07-01 00:00:00.000000,164590.0,1993,07
367,1993-06-01 00:00:00.000000,162964.0,1993,06
